Lunar Aurora, Hoagascht, Patterns #84
Echoes in the night, a symphony of light
Whispers of the moon, in the darkness of the night
Patterns #84, a dance of the stars
Hoagascht, a secret language of the night

In the silence, a melody takes flight
Lunar Aurora, a celestial sight
Whispers of the wind, a soft, gentle sound
Patterns #84, a guide through the night

Hoagascht, a language of the moon
Lunar Aurora, a dance of the stars
In the darkness, a light so pure
Patterns #84, a journey through the night

Whispers of the night, a soft, gentle sound
Lunar Aurora, a celestial sound
Hoagascht, a secret language of the stars
Patterns #84, a guide through the night

In the silence, a melody takes flight
Lunar Aurora, a celestial light
Hoagascht, a language of the moon
Patterns #84, a journey through the night
