I've got a feeling deep inside
That I can't shake, it's taking my mind
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight, I'm losing sight
Of the last sunset, I'm losing sight
I'm losing sight
