output_path,lang,tokens,shingles,max_jaccard,best_song_jaccard,max_containment,best_song_containment,genre,memorization_flag,model,mode,label,note
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/001-real-linkin-park-hybrid-theory-in-the-end.txt,en,62,58,0.0065,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0172,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,real,refuse,refused
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,en,84,80,0.0057,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0125,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_album,refuse,refused
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/005-switch_author-broilers-red-dog.txt,en,65,61,0.0064,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0164,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_author,refuse,refused
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,en,71,67,0.0086,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.0299,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),N,0,openrouter-anthropic-claude-3.7-sonnet,switch_author,refuse,refused
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,en,60,56,0.0066,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0179,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,hallucinate,
/app/resources/out/openrouter-meta-llama-llama-3.1-8b-instruct/001-real-linkin-park-hybrid-theory-in-the-end.txt,en,36,32,0.0132,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.125,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,L,0,openrouter-meta-llama-llama-3.1-8b-instruct,real,hallucinate,
/app/resources/out/openrouter-meta-llama-llama-3.1-8b-instruct/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,en,26,22,0.004,/app/resources/database/U/Underoath/Lost In The Sound Of Separation/Anyone Can Dig A Hole But It Takes A Real Man To Call It Home,0.0455,/app/resources/database/U/Underoath/Lost In The Sound Of Separation/Anyone Can Dig A Hole But It Takes A Real Man To Call It Home,U,0,openrouter-meta-llama-llama-3.1-8b-instruct,switch_album,hallucinate,
/app/resources/out/openrouter-meta-llama-llama-3.1-8b-instruct/005-switch_author-broilers-red-dog.txt,en,15,11,0.0,,0.0,,?,0,openrouter-meta-llama-llama-3.1-8b-instruct,switch_author,hallucinate,
/app/resources/out/openrouter-meta-llama-llama-3.1-8b-instruct/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,en,52,48,0.0098,/app/resources/database/P/Parcels/Day∕Night/Icallthishome,0.0208,/app/resources/database/I/Iron Maiden/Killers/Murders in the Rue Morgue,P,0,openrouter-meta-llama-llama-3.1-8b-instruct,switch_author,hallucinate,
/app/resources/out/openrouter-meta-llama-llama-3.1-8b-instruct/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,en,17,13,0.0,,0.0,,?,0,openrouter-meta-llama-llama-3.1-8b-instruct,madeup_all,hallucinate,
/app/resources/out/openrouter-openai-gpt-4/001-real-linkin-park-hybrid-theory-in-the-end.txt,en,31,27,0.086,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.8889,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,L,1,openrouter-openai-gpt-4,real,correct,
/app/resources/out/openrouter-openai-gpt-4/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,en,14,10,0.0,,0.0,,?,0,openrouter-openai-gpt-4,switch_album,refuse,refused
/app/resources/out/openrouter-openai-gpt-4/005-switch_author-broilers-red-dog.txt,en,10,6,0.0,,0.0,,?,0,openrouter-openai-gpt-4,switch_author,hallucinate,
/app/resources/out/openrouter-openai-gpt-4/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,en,8,4,0.0,,0.0,,?,0,openrouter-openai-gpt-4,switch_author,hallucinate,
/app/resources/out/openrouter-openai-gpt-4/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,en,8,4,0.0,,0.0,,?,0,openrouter-openai-gpt-4,madeup_all,hallucinate,
/app/resources/out/openrouter-google-gemini-2.5-pro/001-real-linkin-park-hybrid-theory-in-the-end.txt,en,30,26,0.0942,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,1.0,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,L,1,openrouter-google-gemini-2.5-pro,real,correct,
/app/resources/out/openrouter-google-gemini-2.5-pro/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,en,53,49,0.0037,/app/resources/database/D/Drake/Started From The Bottom/Started From The Bottom,0.1667,/app/resources/database/S/Sage Francis/A Healthy Distrust/Escape Artist,D,0,openrouter-google-gemini-2.5-pro,switch_album,hallucinate,
/app/resources/out/openrouter-google-gemini-2.5-pro/005-switch_author-broilers-red-dog.txt,de,137,133,0.0,,0.0,,?,0,openrouter-google-gemini-2.5-pro,switch_author,hallucinate,
/app/resources/out/openrouter-google-gemini-2.5-pro/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,de,30,26,0.0119,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.6667,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),N,1,openrouter-google-gemini-2.5-pro,switch_author,correct,
/app/resources/out/openrouter-google-gemini-2.5-pro/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,en,30,26,0.0,,0.0,,?,0,openrouter-google-gemini-2.5-pro,madeup_all,hallucinate,
/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/001-real-linkin-park-hybrid-theory-in-the-end.txt,en,373,369,0.0143,/app/resources/database/B/Boy Harsher/Careful/Lost,0.0615,/app/resources/database/B/Boy Harsher/Careful/Lost,B,0,openrouter-qwen-qwen-2.5-coder-32b-instruct,real,hallucinate,
/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,en,371,367,0.0,,0.0,,?,0,openrouter-qwen-qwen-2.5-coder-32b-instruct,switch_album,hallucinate,
/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/005-switch_author-broilers-red-dog.txt,en,352,348,0.0,,0.0,,?,0,openrouter-qwen-qwen-2.5-coder-32b-instruct,switch_author,hallucinate,
/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,de,768,764,0.0119,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),0.6667,/app/resources/database/N/Nitzer Ebb/Industrial Complex/I Am Undone (Alan Wilder Remix),N,1,openrouter-qwen-qwen-2.5-coder-32b-instruct,switch_author,correct,
/app/resources/out/openrouter-qwen-qwen-2.5-coder-32b-instruct/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,en,810,806,0.0,,0.0,,?,0,openrouter-qwen-qwen-2.5-coder-32b-instruct,madeup_all,hallucinate,
/app/resources/out/openrouter-deepseek-deepseek-r1/001-real-linkin-park-hybrid-theory-in-the-end.txt,en,400,396,0.7574,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,0.8885,/app/resources/database/L/Linkin Park/Hybrid Theory/In the End,L,1,openrouter-deepseek-deepseek-r1,real,correct,
/app/resources/out/openrouter-deepseek-deepseek-r1/003-switch_album-alaska-highway-dark-passion-play-definitions.txt,en,144,140,0.0015,/app/resources/database/N/Nightwish/Dark Passion Play/The Poet And The Pendulum,0.0071,/app/resources/database/N/Nightwish/Dark Passion Play/The Poet And The Pendulum,N,0,openrouter-deepseek-deepseek-r1,switch_album,hallucinate,
/app/resources/out/openrouter-deepseek-deepseek-r1/005-switch_author-broilers-red-dog.txt,de,176,172,0.0,,0.0,,?,0,openrouter-deepseek-deepseek-r1,switch_author,hallucinate,
/app/resources/out/openrouter-deepseek-deepseek-r1/004-switch_author-alexi-murdoch-industrial-complex-i-am-undone-alan-wilder-remix.txt,en,124,120,0.0098,/app/resources/database/S/Sister Machine Gun/Metropolis/Admit,0.05,/app/resources/database/S/Sister Machine Gun/Metropolis/Admit,S,0,openrouter-deepseek-deepseek-r1,switch_author,hallucinate,
/app/resources/out/openrouter-deepseek-deepseek-r1/002-madeup_all-cheering-tomatos-mind-is-in-a-salat-bowl-live-in-the-supper-pot.txt,en,13,9,0.0,,0.0,,?,0,openrouter-deepseek-deepseek-r1,madeup_all,hallucinate,
