I'm feeling nothing but a lot of pain
You're looking so angry as I crawl back again
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so guilty, yeah, you're looking so clean
Been feeling so dirty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean
I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for just being so mean

I'm feeling so dirty, yeah, you're looking so clean
Been feeling so guilty for
