I am the law, I am the sin
I am the truth, I am the lie
I am the light, I am the dark
I am the way, I am the goal
I am the one, I am the zero
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one

I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one, I am the one
I am the one
