output_path,lang,tokens,shingles,max_jaccard,best_song_jaccard,max_containment,best_song_containment,genre,memorization_flag,model,mode,label,note,prompt_author,prompt_album,prompt_title,new_label,new_note,new_containment,new_best_file
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/110-switch_author-massive-attack-schwarzmaler-insel-freiheit.txt,en,83,79,0.0057,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0127,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_author,refuse,refused,Massive Attack,Schwarzmaler,Insel Freiheit,refuse,refused,0.0,database/F/Fahnenflucht/Schwarzmaler/Insel Freiheit
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/190-switch_album-walls-of-jericho-meth-no-saving-me.txt,en,88,84,0.0056,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0119,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_album,refuse,refused,Walls of Jericho,Meth,No Saving Me,refuse,refused,0.0,database/W/Walls of Jericho/Redemption/No Saving Me
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/123-switch_author-nine-inch-nails-once-more-with-feeling-singles-1996-2004-twenty-years.txt,en,67,63,0.0063,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0159,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_author,refuse,refused,Nine Inch Nails,Once More with Feeling - Singles 1996-2004,Twenty Years,refuse,refused,0.12,database/P/Placebo/Once More with Feeling - Singles 1996-2004/Twenty Years
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/008-real-as-i-lay-dying-frail-words-collapse-song-10.txt,en,85,81,0.0057,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0123,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,real,refuse,refused,As I Lay Dying,Frail Words Collapse,Song 10,refuse,refused,0.0,database/A/As I Lay Dying/Frail Words Collapse/Song 10
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/187-real-twenty-one-pilots-vessel-holding-on-to-you.txt,en,82,78,0.0058,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0128,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,real,refuse,refused,Twenty One Pilots,Vessel,Holding On To You,refuse,refused,0.0,database/T/Twenty One Pilots/Vessel/Holding On To You
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/042-madeup_all-crystal-lights-orchestra-midnight-fragments-neon-scenes.txt,en,69,65,0.0035,/app/resources/database/H/Have A Nice Life/Deathconsciousness/The Big Gloom,0.0154,/app/resources/database/H/Have A Nice Life/Deathconsciousness/The Big Gloom,H,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,hallucinate,,Crystal Lights Orchestra,Midnight Fragments,Neon Scenes,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/038-switch_author-concrete-blonde-gran-turismo-my-favourite-game.txt,en,66,62,0.0064,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0161,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_author,refuse,refused,Concrete Blonde,Gran Turismo,My Favourite Game,refuse,refused,0.0,database/T/The Cardigans/Gran Turismo/My Favourite Game
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/154-madeup_all-silent-patterns-project-electric-shadows-black-light.txt,en,46,42,0.0,,0.0,,?,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,hallucinate,,Silent Patterns Project,Electric Shadows,Black Light,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/138-real-pleasure-symbols-closer-and-closer-apart-image-reflected.txt,en,91,87,0.0055,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0115,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,real,refuse,refused,Pleasure Symbols,Closer and Closer Apart,Image Reflected,refuse,refused,0.0,database/P/Pleasure Symbols/Closer and Closer Apart/Image Reflected
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/089-switch_author-itchy-poopzkid-jen-jen.txt,en,73,69,0.0061,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0145,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_author,hallucinate,,Itchy Poopzkid,Jen,Jen,refuse,refused,0.0,database/L/La Porkoj/Jen/Jen
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/184-madeup_all-theo-rossi-fever-horizons-electric-shadows.txt,en,53,49,0.0037,/app/resources/database/D/Dead by April/Incomparable/You Should Know,0.0204,/app/resources/database/D/Dead by April/Incomparable/You Should Know,D,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,hallucinate,,Theo Rossi,Fever Horizons,Electric Shadows,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/023-real-breakdown-of-sanity-perception-deliverance-feat.txt,en,93,89,0.0054,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0112,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,real,refuse,refused,Breakdown of Sanity,Perception,Deliverance (feat,error,no_song_file,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/047-real-dark-tranquillity-construct-for-broken-words.txt,en,79,75,0.0059,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0133,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,real,refuse,refused,Dark Tranquillity,Construct,For Broken Words,refuse,refused,0.0,database/D/Dark Tranquillity/Construct/For Broken Words
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/195-switch_album-yota-cut-the-vibe.txt,en,49,45,0.0,,0.0,,?,0,openrouter-anthropic-claude-3.7-sonnet,switch_album,hallucinate,,Yota,Cut,The Vibe,refuse,refused,0.0,database/Y/Yota/Hazy Paradise/The Vibe
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/039-madeup_all-crimson-patterns-project-lights-of-motors-green-sky.txt,en,48,44,0.0103,/app/resources/database/D/Deadmau5/album title goes here/Sleepless,0.0227,/app/resources/database/D/Deadmau5/album title goes here/Sleepless,D,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,hallucinate,,Crimson Patterns Project,Lights of Motors,Green Sky,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/194-switch_title-yeht-mae-eam-they-aurora-scenes.txt,en,41,37,0.0,,0.0,,?,0,openrouter-anthropic-claude-3.7-sonnet,switch_title,refuse,refused,Yeht Mae,Eam They,Aurora Scenes,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/149-switch_album-rise-against-and-justice-for-all-voices-off-camera.txt,en,82,78,0.0058,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0128,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_album,refuse,refused,Rise Against,...And Justice For All,Voices Off Camera,refuse,refused,0.0,database/R/Rise Against/Revolutions Per Minute/Voices Off Camera
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/113-madeup_all-milo-fischer-electric-stories.txt,en,51,47,0.007,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0213,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,refuse,refused,Milo Fischer,Electric Stories,,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/055-madeup_all-digital-patterns-quartet-lights-of-shadows.txt,en,65,61,0.0064,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0164,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,refuse,refused,Digital Patterns Quartet,Lights of Shadows,,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/068-madeup_all-enzo-hayes-silent-stories-epilogue.txt,en,62,58,0.0065,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0172,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,madeup_all,refuse,refused,Enzo Hayes,Silent Stories,Epilogue,refuse,refused,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/054-switch_author-die-goldenen-zitronen-gute-menschen-gute-menschen.txt,en,35,31,0.0,,0.0,,?,0,openrouter-anthropic-claude-3.7-sonnet,switch_author,hallucinate,,Die Goldenen Zitronen,Gute Menschen,Gute Menschen,refuse,refused,0.0,database/O/OK KID/Gute Menschen/Gute Menschen
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/053-real-diana-gitallog-ete-rouge-ete-rouge-feat.txt,en,71,67,0.0062,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0149,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,real,refuse,refused,Diana Gitallog,Été Rouge,Été Rouge (feat,error,no_song_file,0.0,
/app/resources/out/openrouter-anthropic-claude-3.7-sonnet/181-switch_album-the-used-joyride-maybe-memories.txt,en,91,87,0.0055,/app/resources/database/T/Touché Amoré/Parting the Sea Between Brightness and Me/Sesame,0.0115,/app/resources/database/R/Rage Against The Machine/The Battle Of Los Angeles/Guerrilla Radio,T,0,openrouter-anthropic-claude-3.7-sonnet,switch_album,refuse,refused,The Used,Joyride,Maybe Memories,refuse,refused,0.0,database/T/The Used/The Used/Maybe Memories
