model	correct	refuse	hallucinate	error	total
openrouter-anthropic-claude-3.7-sonnet	0	200	0	0	200
openrouter-deepseek-deepseek-chat	7	181	12	0	200
openrouter-deepseek-deepseek-r1	8	157	35	0	200
openrouter-google-gemini-2.5-pro	15	96	89	0	200
openrouter-meta-llama-llama-3.1-405b-instruct	7	126	67	0	200
openrouter-meta-llama-llama-3.1-70b-instruct	6	173	21	0	200
openrouter-meta-llama-llama-3.1-8b-instruct	12	103	85	0	200
openrouter-mistralai-mistral-large-2411	7	141	52	0	200
openrouter-nousresearch-hermes-3-llama-3.1-70b	1	191	6	0	198
openrouter-openai-chatgpt-4o-latest	3	183	14	0	200
openrouter-openai-gpt-4	20	141	39	0	200
openrouter-openai-gpt-4o	0	200	0	0	200
openrouter-qwen-qwen-2.5-72b-instruct	2	196	2	0	200
openrouter-qwen-qwen-2.5-7b-instruct	9	106	85	0	200
openrouter-qwen-qwen-2.5-coder-32b-instruct	0	184	16	0	200
